,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
610,Mostly Self-Taught,Leadership,$60k - $80k,"ArcGIS,ggplot2,PowerBI,R,Tableau,SAS,Cognos","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Gantt",Public sector,Mathematics ,Man,USA,12.0,6.0,0.0,4.0,6.0,7.0,"Embeddedinatool,Dashboard",no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no
613,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Mapbox,Plotly,R,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap",Journalism,Journalism ,Man,USA,5.0,1.0,0.0,20.0,5.0,0.0,"Scrollytelling,StaticWebPage",yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes
615,Mostly Self-Taught,Other,$80k - $100k,"D3,Excel,Illustrator,QGIS,WebComponents,WebGL,Pen&Paper,Otherphysicalmaterials,Canvas,Blender","LineChart,BarChart,ChoroplethMap,RasterMap",Journalism,photojournalism,Man,USA,20.0,0.0,3.0,10.0,5.0,0.0,"Scrollytelling,Newspaperorotherphysicalhandout,web-based",yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
619,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Leaflet,Mapbox,kepler.gl,QGIS,R,WebGL,Datawrapper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,SwarmChart",Public sector,Mathematics,Man,United Kingdom,10.0,5.0,0.0,1.0,1.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,Documents",no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,no
625,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,PowerBI,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Federally owned utility,Physics,Man,USA,2.0,10.0,10.0,1.0,12.0,0.0,"Embeddedinatool,Dashboard,Scrollytelling,Documents,Presentations,Email",yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes
626,Mostly Self-Taught,Academic,< $20k,"Excel,ggplot2,Plotly,Python,QGIS,R","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,Electronics and Communication Engineering ,Man,India ,8.0,8.0,8.0,4.0,10.0,2.0,"InteractiveNotebook,Presentations",yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no
627,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,Qlik,R","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Economics,Man,United Kingdom,4.0,4.0,2.0,5.0,1.0,5.0,"Scrollytelling,Presentations",yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes
628,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,PowerBI,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Marketing; Supply Chain,Man,USA,2.0,6.0,12.0,1.0,2.0,0.0,"Dashboard,Documents,Presentations",yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no
633,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Pen&Paper","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Business,Man,USA,10.0,10.0,0.0,5.0,20.0,0.0,"Dashboard,Scrollytelling,Documents,Presentations,Email",yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
636,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,R,Tableau,Pen&Paper,Alteryx","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Biological Sciences,Man,United Kingdom,7.0,7.0,7.0,2.0,8.0,1.0,"Embeddedinatool,Dashboard,InteractiveNotebook,Documents,Presentations,Email,Newspaperorotherphysicalhandout",yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no
637,Mostly Self-Taught,Analyst,< $20k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap,WordCloud",Banking,Automation,Man,India,15.0,15.0,5.0,5.0,0.0,5.0,Dashboard,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
638,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Tableau","LineChart,BarChart,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Nuclear engineering ,Man,USA,10.0,10.0,2.0,5.0,10.0,0.0,"Dashboard,StaticWebPage,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no
640,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,PieChart",Private sector,Music,Man,USA,20.0,0.0,0.0,0.0,20.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
641,Mostly Self-Taught,Analyst,$60k - $80k,"ggplot2,Mapbox,Plotly,Python,R,React,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,ChoroplethMap",Private sector,Physics ,Man,USA,2.0,8.0,15.0,0.0,15.0,0.0,"StaticWebPage,Presentations",no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
644,Equal Parts School and Self-Taught,Other,< $20k,"ggplot2,R",LineChart,Private sector,Political Science,Man,Mexico,1.0,3.0,3.0,1.0,3.0,0.0,Presentations,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
645,Mostly Self-Taught,Scientist,$40k - $60k,"Illustrator,Python,Vega","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,3DCharts,VR/ARCharts,SwarmChart,Force-DirectedGraph",Public sector,Chemistry,Man,USA,5.0,3.0,10.0,2.0,20.0,0.0,"Documents,Presentations",no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no
653,Mostly Self-Taught,Scientist,$80k - $100k,"Python,Pen&Paper,Matplotlib","LineChart,Scatterplot,3DCharts",Public sector,Physics,Man,USA,5.0,0.0,0.0,0.0,0.0,0.0,"InteractiveNotebook,Documents,Presentations",no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
655,Mostly Self-Taught,Developer,$20k - $40k,SAPBO,"LineChart,BarChart,Treemap",Private sector,Computer Science,Man,India,4.0,16.0,2.0,4.0,12.0,2.0,"Dashboard,Documents",no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no
662,Mostly Self-Taught,Academic,$40k - $60k,"Excel,Illustrator,Processing,Semiotic,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics",Academic,Semiotics,Man,Spain,3.0,0.0,6.0,4.0,2.0,0.0,"Presentations,Email",yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
663,Mostly Self-Taught,Academic,< $20k,"D3,Angular,Gephi,Highcharts,Leaflet,Plotly,Python,Vue,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Both Academic and Journalism,Computer Science,Man,Cuba,4.0,4.0,20.0,4.0,8.0,0.0,"Dashboard,Scrollytelling,InteractiveNotebook",no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes
666,Equal Parts School and Self-Taught,Developer,$80k - $100k,"ggplot2,Highcharts,Plotly,R,Tableau,EPICEHR","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Mathematics ,Man,USA,9.0,9.0,8.0,4.0,8.0,2.0,"Dashboard,Scrollytelling,StaticWebPage,Documents,Presentations,Email",no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes
668,Mostly Self-Taught,Student,< $20k,"D3,WebGL,Pen&Paper","BarChart,PieChart,Scatterplot,ChoroplethMap",Academic,Computer Engineering,Man,USA,14.0,0.0,0.0,2.0,4.0,2.0,"Embeddedinatool,Dashboard,Documents,Presentations",no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no
669,Mostly From School (or other formal courses),Analyst,$40k - $60k,"Excel,Tableau",BarChart,Private sector,Political Science,Man,USA,5.0,0.0,0.0,3.0,1.0,0.0,Dashboard,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
670,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Infographics,Treemap",Public sector,Special Education,Man,USA,10.0,1.0,3.0,2.0,5.0,1.0,"Dashboard,Scrollytelling,Documents,Presentations,Email,DigitalNewsletter",yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes
672,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Tableau,SAPWebI","LineChart,BarChart,Scatterplot,Treemap",Medical IT,Mathematics and Statistics,Man,USA,10.0,15.0,0.0,5.0,10.0,0.0,"Embeddedinatool,Dashboard",yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no
673,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,QGIS,Tableau","LineChart,BarChart,PieChart,Scatterplot",Private sector,Geography,Man,United Kingdom,2.0,4.0,0.0,0.0,20.0,0.0,Dashboard,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
674,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,ggplot2,PowerBI,R","LineChart,BarChart",Private sector,Industrial Engineering,Man,USA,5.0,2.0,0.0,5.0,2.0,4.0,"Dashboard,Documents,Email",yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no
675,Mostly Self-Taught,Designer,$40k - $60k,"D3,Excel,Gephi,Illustrator,Leaflet,Mapbox,QGIS,Vue,Pen&Paper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph,Gantt/timelinechart,Venndiagram,customdatavisuals(manuallyconstructed)",Not-for-profit,Architecture,Man,Lebanon,8.0,0.0,0.0,16.0,8.0,8.0,"Dashboard,Presentations,Email,Newspaperorotherphysicalhandout,Socialmediavisuals,posters",yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
676,Mostly Self-Taught,Leadership,$80k - $100k,"ggplot2,Gephi,Illustrator,Plotly,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Engineering,Man,Canada,15.0,1.0,2.0,15.0,6.0,2.0,"Dashboard,StaticWebPage,Documents,Presentations,Email,Newspaperorotherphysicalhandout",no,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no
677,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,Python,Tableau,Pen&Paper,Alteryx","LineChart,BarChart,PieChart,Scatterplot,ChoroplethMap",Private sector,Sustainable Energy Technology,Man,Germany,10.0,10.0,0.0,5.0,5.0,10.0,Dashboard,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
678,Mostly Self-Taught,Developer,$120k - $140k,Qlik,"LineChart,BarChart,Scatterplot,Treemap",Public sector,Information Systems ,Man,USA,10.0,20.0,2.0,5.0,20.0,0.0,"Dashboard,Scrollytelling,Presentations",no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes
679,Mostly Self-Taught,Analyst,$100k - $120k,"D3,Excel,Semiotic,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Computer Science and Management Studies,Man,New Zealand,0.5,0.0,0.0,0.25,0.0,0.0,"StaticWebPage,InteractiveNotebook",yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no
680,Equal Parts School and Self-Taught,Analyst,$80k - $100k,"ArcGIS,Excel,PowerBI,Python,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Management Information Systems,Man,Canada,20.0,10.0,5.0,10.0,5.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations",yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no
681,Mostly Self-Taught,Engineer,$60k - $80k,"D3,Excel,PowerBI,Tableau","LineChart,BarChart,Scatterplot,Treemap",Private sector,Business Engineering ,Man,Germany,12.0,8.0,2.0,4.0,8.0,6.0,Dashboard,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
683,Mostly Self-Taught,Leadership,$40k - $60k,"D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,R,Vue,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Journalism,Electrical Engineering,Man,Colombia,10.0,10.0,10.0,5.0,10.0,5.0,"Embeddedinatool,Scrollytelling,StaticWebPage,Documents,Presentations,Newspaperorotherphysicalhandout",yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,yes
685,Mostly Self-Taught,Leadership,$200k+,"Excel,ggplot2,Processing,R,Tableau","LineChart,BarChart,Scatterplot",Private sector,Anthropology,Man,Indonesia,5.0,3.0,0.0,5.0,2.0,0.0,"Embeddedinatool,Dashboard,Presentations",yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
686,Mostly Self-Taught,Other,$80k - $100k,"ArcGIS,D3,Highcharts,Plotly,Python,QGIS,Tableau,Vega,Pen&Paper,Otherphysicalmaterials,Matplotlib,GoogleDataStudio","LineChart,BarChart,PieChart,Hexbin/Heatmap",Freelance for most of the above,Engineering Mathematics,Man,Spain,10.0,10.0,5.0,5.0,10.0,5.0,"Embeddedinatool,Dashboard,InteractiveNotebook",no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no
688,Mostly Self-Taught,Other,$120k - $140k,"D3,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Python,QGIS,R,WebGL","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DMap",Consutant - various,Chemistry,Man,United Kingdom,10.0,2.0,0.0,3.0,2.0,12.0,"Embeddedinatool,Dashboard,StaticWebPage,Documents,Presentations,Twitter/Facebook/LinkedIn/Instagram",yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no
689,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"D3,ggplot2,Plotly,R,FlexDashboard","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart),ChordDiagram",Consulting,?,Man,Australia,4.0,0.0,2.0,0.0,2.0,0.0,"Dashboard,Presentations",no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no
691,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,PowerBI,Python,Tableau,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,Force-DirectedGraph",Private sector,Marketing,Man,Canada,5.0,10.0,0.0,2.0,15.0,0.0,"Dashboard,Presentations",yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no
693,Mostly Self-Taught,Designer,$140k - $160k,"Excel,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Studio art ,Man,USA,0.0,0.0,0.0,2.0,2.0,0.0,"Documents,Presentations,Aspartofuserinterfacedesigns",yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no
697,Mostly Self-Taught,Engineer,$80k - $100k,"Plotly,Python,Pen&Paper,Matplotlib,Tikz,Coreldraw,Inkscape","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Defence aerospace ,Electronic engineering ,Man,South Africa ,16.0,24.0,0.0,8.0,0.0,0.0,"InteractiveNotebook,Documents,Presentations,Email",no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no
701,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,R,Tableau,Pen&Paper,PowerPoint","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Private sector,Psychology,Man,USA,10.0,10.0,10.0,5.0,10.0,0.0,"Dashboard,Scrollytelling,Documents,Presentations",yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes
703,Mostly Self-Taught,Analyst,< $20k,"D3,Excel,ggplot2,Python,R,Matplotlib","LineChart,BarChart,Scatterplot,ChoroplethMap,SwarmChart",Not-for-profit,Political Science,Man,Mexico,6.0,6.0,8.0,2.0,10.0,1.0,"Documents,Presentations",yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
704,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,Plotly,Python,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot",Private sector,Chemical engineering,Man,USA,6.0,22.0,8.0,2.0,3.0,1.0,"Dashboard,StaticWebPage,InteractiveNotebook,Documents,Email",yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no
706,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,PowerBI,R","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Management Information Systems,Man,USA,13.0,2.0,0.0,10.0,13.0,2.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,Presentations,Email",yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes
708,Mostly Self-Taught,Analyst,$60k - $80k,"Mapbox,Microstrategy,PowerBI,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap",Private sector,Finance,Man,Spain,10.0,7.0,3.0,10.0,10.0,5.0,"Dashboard,StaticWebPage,Presentations,Email",no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no
710,Mostly Self-Taught,Academic,$60k - $80k,"D3,Excel,ggplot2,Gephi,Illustrator,Leaflet,Processing,QGIS,R,Tableau,Pen&Paper,Canvas,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Academic,"chemistry, Asian studies",Man,USA,10.0,10.0,10.0,10.0,10.0,5.0,"Embeddedinatool,Scrollytelling,StaticWebPage,Documents,Presentations",yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
711,Mostly Self-Taught,Developer,$80k - $100k,"D3,Angular,ggplot2,Illustrator","LineChart,BarChart",Private sector,Neuroscience,Man,USA,1.0,0.0,0.0,0.0,5.0,0.0,"Embeddedinatool,Dashboard",no,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
713,Equal Parts School and Self-Taught,Engineer,$80k - $100k,"D3,Mapbox,Python,QGIS,Tableau","LineChart,Scatterplot,ChoroplethMap",Private sector,Cartography,Man,Croatia,8.0,4.0,4.0,6.0,8.0,2.0,"Dashboard,StaticWebPage",no,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no
714,Mostly Self-Taught,Other,$20k - $40k,"D3,Excel,Highcharts,Java,QGIS,Fluorish,GoogleMap","LineChart,BarChart,PieChart,Infographics,ChoroplethMap",Journalism,Chemical Engineering,Man,Malaysia,2.0,2.0,0.0,0.0,5.0,0.0,"Embeddedinatool,Scrollytelling,StaticWebPage,Presentations",yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes
715,Equal Parts School and Self-Taught,Analyst,$120k - $140k,"Excel,ggplot2,Plotly,Python,R,Tableau","BarChart,PieChart,Infographics",Private sector,Mathematics and Statistics,Man,Canada,8.0,24.0,2.0,4.0,2.0,4.0,"Dashboard,Documents,Presentations",yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
716,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Angular,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Plotly,QGIS,R,React,WebComponents,WebGL","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Theoretical physics,Man,Finland,5.0,0.0,20.0,0.0,5.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
717,Mostly Self-Taught,Leadership,$60k - $80k,"D3,ggplot2,Plotly,PowerBI,Processing,Python,R,React,P5/Processing","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,VR/ARCharts,Force-DirectedGraph",Private sector,Engineering,Man,Brazil,20.0,5.0,20.0,5.0,15.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,Presentations",no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no
718,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,Illustrator,PowerBI,Python,R,Pen&Paper","LineChart,BarChart,Scatterplot,RasterMap",Private sector,Economics,Man,Mexico,5.0,2.0,5.0,3.0,2.0,0.0,"Dashboard,Documents,Presentations",yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
719,Mostly Self-Taught,Scientist,$20k - $40k,"Excel,ggplot2,Java,Leaflet,Mapbox,kepler.gl,Plotly,QGIS,R,Pen&Paper,GoogleDataStudio,FacebookAnalytics,Gamesparks","LineChart,BarChart,PieChart",Private sector,Biology,Man,United Kingdom,3.0,0.0,6.0,3.0,6.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
